subject_code,assessment_name,student_number,score,feedback_text,silo_tags_text,weight,weighted_score
CSE3CAP,CSE3CAP - Assignment: Final written Project Report,STU0004,56,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly industry standard technical solutions in software or cybersecurity practice and professional system documentation and advanced technical reporting to industry standards. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO2: industry standard technical solutions in software or cybersecurity practice; SILO4: professional system documentation and advanced technical reporting to industry standards,0.35,19.599999999999998
CSE3CAP,CSE3CAP - Assignment: Sprint Project management reports,STU0004,56,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly advanced project management during substantive development implementation and industry standard technical solutions in software or cybersecurity practice. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO1: advanced project management during substantive development implementation; SILO2: industry standard technical solutions in software or cybersecurity practice,0.35,19.599999999999998
CSE1OOF,CSE1OOF - Test,STU0005,75,"This strong result shows well-developed understanding of the relevant learning themes, particularly analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour and abstract data types and encapsulation to localise and minimise change. Further improvement would come from deeper justification, more consistent evaluation evidence and tighter links between decisions and implementation details.",SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour; SILO2: abstract data types and encapsulation to localise and minimise change,0.15,11.25
CSE1OOF,CSE1OOF - Practical demonstration,STU0005,70,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, code sharing and reuse through object-oriented techniques to reduce development time, and object-oriented design and implementation of computer programs for real-life problems. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems,0.2,14.0
CSE1OOF,CSE1OOF - Assignment,STU0005,70,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, code sharing and reuse through object-oriented techniques to reduce development time, and object-oriented design and implementation of computer programs for real-life problems. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems,0.25,17.5
CSE1OOF,CSE1OOF - Central examination,STU0005,76,"This strong result shows well-developed understanding of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, object-oriented design and implementation of computer programs for real-life problems, code sharing and reuse through object-oriented techniques to reduce development time, and analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour. Further improvement would come from deeper justification, more consistent evaluation evidence and tighter links between decisions and implementation details.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO4: object-oriented design and implementation of computer programs for real-life problems; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour,0.4,30.400000000000002
CSE2ALG,CSE2ALG - Test,STU0005,72,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly overall objectives of Algorithms and Data Structures, identifying data structures and searching and sorting algorithms in computing contexts, and implementing data structures and searching and sorting algorithms in Java. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java,0.2,14.4
CSE2ALG,CSE2ALG - Assignment,STU0005,75,"This strong result shows well-developed understanding of the relevant learning themes, particularly identifying data structures and searching and sorting algorithms in computing contexts, implementing data structures and searching and sorting algorithms in Java, comparing algorithms and data structures and applying suitable choices to problems, and designing, implementing, and evaluating Java solutions using appropriate performance measures. Further improvement would come from deeper justification, more consistent evaluation evidence and tighter links between decisions and implementation details.","SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO4: comparing algorithms and data structures and applying suitable choices to problems; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures",0.3,22.5
CSE2ALG,CSE2ALG - Central examination,STU0005,74,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly overall objectives of Algorithms and Data Structures, identifying data structures and searching and sorting algorithms in computing contexts, implementing data structures and searching and sorting algorithms in Java, and designing, implementing, and evaluating Java solutions using appropriate performance measures. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.","SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures",0.5,37.0
CSE3CAP,CSE3CAP - Oral presentation: Project Milestone Presentation,STU0005,72,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly reporting project outcomes to technical and non-technical audiences and reflecting on feedback. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback,0.1,7.2
CSE3CAP,CSE3CAP - Oral presentation: Final Project Presentation,STU0005,72,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly reporting project outcomes to technical and non-technical audiences and reflecting on feedback. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback,0.2,14.4
CSE3CAP,CSE3CAP - Assignment: Final written Project Report,STU0005,74,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly industry standard technical solutions in software or cybersecurity practice and professional system documentation and advanced technical reporting to industry standards. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO2: industry standard technical solutions in software or cybersecurity practice; SILO4: professional system documentation and advanced technical reporting to industry standards,0.35,25.9
CSE3CAP,CSE3CAP - Assignment: Sprint Project management reports,STU0005,75,"This strong result shows well-developed understanding of the relevant learning themes, particularly advanced project management during substantive development implementation and industry standard technical solutions in software or cybersecurity practice. Further improvement would come from deeper justification, more consistent evaluation evidence and tighter links between decisions and implementation details.",SILO1: advanced project management during substantive development implementation; SILO2: industry standard technical solutions in software or cybersecurity practice,0.35,26.25
