subject_code,silo_code,title,passage_text,source_url,provenance
CSE2ALG,SILO1,Khan Academy - Algorithms,"A gentle, free introduction to what an algorithm is and how to reason about one: binary search, asymptotic notation, selection and insertion sort, recursion, merge sort and quicksort, with interactive exercises. A good place to rebuild foundations if the overall purpose of the subject still feels abstract.",https://www.khanacademy.org/computing/computer-science/algorithms,curated
CSE2ALG,SILO2,VisuAlgo - visualising data structures and algorithms,"Animated, step-by-step visualisations of sorting algorithms, linked lists, stacks, queues, hash tables, binary search trees, heaps and graph algorithms. Use it to see what each structure and algorithm actually does before deciding which one a problem calls for.",https://visualgo.net/en,curated
CSE2ALG,SILO2,GeeksforGeeks - Data Structures overview,"An index of the standard data structures (arrays, linked lists, stacks, queues, trees, heaps, hash tables, graphs) with the operations each supports and typical uses. Handy for the identification step: given a problem, which structure gives you the operations you need?",https://www.geeksforgeeks.org/data-structures/,curated
CSE2ALG,SILO3,Oracle Java Tutorials - Collections,"Oracle's guide to the Java Collections Framework: List, Set, Map, Queue and Deque, their standard implementations (ArrayList, LinkedList, HashMap, TreeMap, PriorityQueue) and the algorithms in java.util.Collections. Read it when implementing a structure in Java, and to see how the library versions behave.",https://docs.oracle.com/javase/tutorial/collections/index.html,curated
CSE2ALG,SILO3,Princeton Algorithms (Sedgewick and Wayne) - booksite,"The free companion site to the standard Algorithms textbook, with full Java implementations of every data structure and sorting or searching algorithm, plus explanations and exercises. Compare your own Java implementation against theirs line by line.",https://algs4.cs.princeton.edu/home/,curated
CSE2ALG,SILO4,Big-O Cheat Sheet,"A one-page table of the time and space complexity of the common data structures and sorting algorithms, best, average and worst case. Use it to justify a choice: when the marker asks why you picked a hash table over a tree, or merge sort over insertion sort, this is the comparison to make.",https://www.bigocheatsheet.com/,curated
CSE2ALG,SILO4,Princeton Algorithms - Analysis of Algorithms,"The chapter on how to measure and compare algorithms: running-time experiments, mathematical models, order-of-growth classifications and memory use. Read it when you need to argue that one approach is better than another rather than just assert it.",https://algs4.cs.princeton.edu/14analysis/,curated
CSE2ALG,SILO5,Princeton Algorithms - Sorting,"Complete Java implementations and analysis of elementary sorts, mergesort, quicksort and priority queues, with empirical timing comparisons. A model for the design, implement, then evaluate cycle the SILO asks for.",https://algs4.cs.princeton.edu/20sorting/,curated
CSE2ALG,SILO5,Java Microbenchmark Harness (JMH),"The OpenJDK tool for measuring Java code performance reliably, avoiding the traps of naive System.nanoTime timing loops (warm-up, JIT, dead-code elimination). Use it when your evaluation needs real performance measurements rather than guesses.",https://github.com/openjdk/jmh,curated
CSE3CAP,SILO1,The Scrum Guide (official),"The definitive, short definition of Scrum from its creators: the roles, events and artifacts, and the reasoning behind them. Read it when planning sprints or writing about how the team managed the project, so the terms you use match what the framework actually says.",https://scrumguides.org/scrum-guide.html,curated
CSE3CAP,SILO1,Atlassian Agile Coach,"Practical articles on running agile projects with Jira: writing user stories, estimating with story points, planning and reviewing sprints, retrospectives and reading burndown charts. Directly relevant to managing a capstone build and to the evidence in your sprint reports.",https://www.atlassian.com/agile,curated
CSE3CAP,SILO2,OWASP Top Ten,"The industry-standard list of the most critical web application security risks, each with how it happens, how to prevent it and example attack scenarios. Check your capstone design against every item, and cite the ones you addressed in your documentation.",https://owasp.org/www-project-top-ten/,curated
CSE3CAP,SILO2,OWASP Cheat Sheet Series,"Concise, practitioner-written guides on specific secure-development topics: authentication, session management, input validation, password storage, logging, secrets management and more. Use the relevant sheet as the checklist when implementing that part of your system.",https://cheatsheetseries.owasp.org/,curated
CSE3CAP,SILO2,The Twelve-Factor App,"Twelve widely adopted principles for building software that deploys cleanly to modern hosting: config in the environment, explicit dependencies, stateless processes, logs as streams, dev and production parity. A recognised industry baseline to measure a capstone deployment against.",https://12factor.net/,curated
CSE3CAP,SILO3,Google Developer Documentation Style Guide,"Google's public style guide for writing about technical work clearly: plain language, active voice, consistent terminology, and how to write for readers who are not experts in your system. Apply it when presenting outcomes to a non-technical client or assessor.",https://developers.google.com/style,curated
CSE3CAP,SILO3,University of Edinburgh Reflection Toolkit - Gibbs' Reflective Cycle,"A clear explanation of Gibbs' six-stage model for reflecting on an experience: description, feelings, evaluation, analysis, conclusion and action plan, with prompts for each stage. Use it to structure retrospectives and any reflection on feedback you received.",https://www.ed.ac.uk/reflection/reflectors-toolkit/reflecting-on-experience/gibbs-reflective-cycle,curated
CSE3CAP,SILO4,Write the Docs - Documentation guide,"A community-maintained guide to software documentation: why it matters, how to structure it, what to include in a README, API docs and maintenance guides, and how to keep docs current. Read it before writing or revising a system maintenance document or user manual.",https://www.writethedocs.org/guide/,curated
CSE3CAP,SILO4,arc42 - software architecture documentation template,"A free, widely used template for documenting a system's architecture in twelve sections: goals and constraints, context, building blocks, runtime and deployment views, cross-cutting concepts, decisions, risks and glossary. A ready-made professional structure for the technical parts of a capstone report.",https://arc42.org/overview,curated
CSE3CAP,SILO4,Diataxis - a framework for technical documentation,"Explains the four kinds of documentation (tutorials, how-to guides, reference, explanation), what each is for, and why mixing them makes documents hard to use. Use it to decide what belongs in a user manual versus a maintenance document.",https://diataxis.fr/,curated
CSE1OOF,SILO1,YouTube - The difference between procedural and object-oriented programming (BuildAModule),"A short video walkthrough contrasting procedural programming with object-oriented design, using everyday analogies to show why bundling data with the behaviour that acts on it changes how you model a problem. Watch it before the Oracle readings if the written material feels too abstract on its own.",https://www.youtube.com/watch?v=OEfSFrk_KEI,curated
CSE1OOF,SILO2,"YouTube - Object-Oriented Programming, Simplified (Programming with Mosh)","A beginner-friendly video covering the four pillars of OOP - encapsulation, abstraction, inheritance and polymorphism - with simple code examples. Useful as a visual companion to the access-control and encapsulation readings above.",https://www.youtube.com/watch?v=pTB0EiLXUC8,curated
CSE1OOF,SILO3,YouTube - Learn Java inheritance in 9 minutes (Bro Code),"A fast, code-along video demonstrating single and multi-level inheritance in Java, including overriding methods. Pair it with the Oracle Interfaces and Inheritance reading to see the same ideas typed out live.",https://www.youtube.com/watch?v=GTP5lVEKXaU,curated
CSE1OOF,SILO4,YouTube - SOLID Principles: Do You Really Understand Them? (Alex Hyett),"Walks through the five SOLID design principles with before-and-after code examples, showing how each one makes a design easier to extend without breaking existing behaviour. Directly relevant when a marker's feedback says a program's design does not scale to a bigger, real-world problem.",https://www.youtube.com/watch?v=kF7rQmSRlq0,curated
CSE2ALG,SILO1,"YouTube - MIT 6.006 Introduction to Algorithms, Spring 2020 (MIT OpenCourseWare)","The full recorded lecture series for MIT's introductory algorithms course, covering the same material as its OCW readings but delivered as lectures. Watch the first lecture for the course's own framing of what algorithms and data structures are for.",https://www.youtube.com/watch?v=ZA-tUyM_y7s&list=PLUl4u3cNGP63EdVPNLG3ToM6LaEUuStEY,curated
CSE2ALG,SILO2,YouTube - 10 Sorting Algorithms Easily Explained (Coding with Lewis),"A visual run-through of ten common sorting algorithms - including bubble, merge, quick and insertion sort - explaining how each one works step by step. Good for building intuition before comparing their Big-O complexity.",https://www.youtube.com/watch?v=rbbTd-gkajw,curated
CSE2ALG,SILO3,YouTube - Learn Linked Lists in 13 minutes (Bro Code),"A hands-on Java coding video building a linked list from scratch, covering nodes, insertion and traversal. Use it alongside the Java Collections reading to compare a hand-rolled implementation with the library version.",https://www.youtube.com/watch?v=N6dOwBde7-M,curated
CSE2ALG,SILO4,YouTube - Learn Big O notation in 6 minutes (Bro Code),"A concise explanation of Big O notation with worked examples of O(1), O(n) and O(n squared) code, showing how to reason about an algorithm's growth rate. Use it as a quick refresher before applying the Big-O Cheat Sheet to compare specific algorithms.",https://www.youtube.com/watch?v=XMUe3zFhM5c,curated
CSE2ALG,SILO5,YouTube - Data Structures and Algorithms in 15 Minutes (Tren Black),"A rapid-fire overview connecting common data structures to the algorithms typically run on them and the performance trade-offs involved in choosing one over another. A useful bridge between the Princeton Sorting readings and writing your own evaluation of a Java solution's performance.",https://www.youtube.com/watch?v=oz9cEqFynHU,curated
CSE3CAP,SILO1,YouTube - What Is Agile Methodology? Introduction to Agile Methodology in Six Minutes (Simplilearn),"A short overview of Agile project management, contrasting it with the waterfall model and explaining the iterative, feedback-driven approach behind sprints. A quick primer to watch before working through the official Scrum Guide.",https://www.youtube.com/watch?v=8eVXTyIZ1Hs,curated
CSE3CAP,SILO2,YouTube - OWASP API Security Top 10 Course (freeCodeCamp.org),"A full crash course covering each risk in the OWASP API Security Top 10, with explanations of how each vulnerability happens and how to prevent it. Use it alongside the OWASP Top Ten and Cheat Sheet Series when checking a capstone project's security design.",https://www.youtube.com/watch?v=YYe0FdfdgDU,curated
CSE3CAP,SILO3,YouTube - How To Give a Great Presentation: 7 Presentation Skills and Tips (Practical Psychology),"Practical tips for presenting technical outcomes clearly to an audience, covering structure, visuals, repetition of key points and building confidence through practice. Relevant when preparing a project milestone or final presentation.",https://www.youtube.com/watch?v=MnIPpUiTcRc,curated
CSE3CAP,SILO4,YouTube - Writing technical documentation - tutorial with Confluence (Christian Lempa),"Explains why technical documentation matters and gives concrete tips for writing it clearly, including a walkthrough of documenting a project in Confluence. Use it alongside the arc42 template when writing a capstone's system documentation.",https://www.youtube.com/watch?v=d6Cs11AZqV4,curated
